"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"165","0.646159780","0.000511930","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","42496","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:42496 (Valid,Primary,Ok,Run)"
"167","0.656268634","0.006447214","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","43008","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43008 (Valid,Primary,Ok,Run)"
"169","0.662710020","0.001062500","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","43008","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43008 (Valid,Primary,Ok,Run)"
"171","0.672269344","0.003897794","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","43520","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43520 (Valid,Primary,Ok,Run)"
"172","0.676270380","0.004001036","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","43520","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43520 (Valid,Primary,Ok,Run)"
"175","0.688270044","0.004861284","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","44032","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44032 (Valid,Primary,Ok,Run)"
"177","0.693798420","0.000151560","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","44032","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44032 (Valid,Primary,Ok,Run)"
"179","0.704270754","0.005311894","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","44544","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44544 (Valid,Primary,Ok,Run)"
"181","0.709818560","0.000172030","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","44544","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44544 (Valid,Primary,Ok,Run)"
"183","0.720271504","0.000297534","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","45056","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45056 (Valid,Primary,Ok,Run)"
"185","0.726399370","0.000753170","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","45056","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45056 (Valid,Primary,Ok,Run)"
"187","0.736272174","0.005262194","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","45568","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45568 (Valid,Primary,Ok,Run)"
"189","0.744896400","0.003250530","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","45568","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45568 (Valid,Primary,Ok,Run)"
"191","0.752272874","0.003731434","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","46080","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46080 (Valid,Primary,Ok,Run)"
"193","0.763935060","0.006289520","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","46080","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46080 (Valid,Primary,Ok,Run)"
"195","0.768273584","0.003190404","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","46592","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46592 (Valid,Primary,Ok,Run)"
"197","0.774937800","0.001292600","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","46592","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46592 (Valid,Primary,Ok,Run)"
"198","0.784274294","0.009336494","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","47104","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47104 (Valid,Primary,Ok,Run)"
"201","0.789995830","0.000350960","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","47104","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47104 (Valid,Primary,Ok,Run)"
"203","0.800274994","0.002629074","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","47616","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47616 (Valid,Primary,Ok,Run)"
"205","0.806499510","0.000854970","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","47616","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47616 (Valid,Primary,Ok,Run)"
"207","0.816275704","0.005081914","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","48128","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48128 (Valid,Primary,Ok,Run)"
"209","0.822525170","0.000880960","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","48128","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48128 (Valid,Primary,Ok,Run)"
